symbol,company_name,stock_id,detail_url
DRREDDY,dr-reddy-s-laboratories-ltd,346,https://trendlyne.com/equity/346/DRREDDY/dr-reddy-s-laboratories-ltd/
SHREECEM,shree-cements-ltd,1226,https://trendlyne.com/equity/1226/SHREECEM/shree-cements-ltd/
LENSKART,lenskart-solutions-ltd,3309492,https://trendlyne.com/equity/3309492/LENSKART/lenskart-solutions-ltd/
RECLTD,rec-ltd,1119,https://trendlyne.com/equity/1119/RECLTD/rec-ltd/
MAZDOCK,mazagon-dock-shipbuilders-ltd,305195,https://trendlyne.com/equity/305195/MAZDOCK/mazagon-dock-shipbuilders-ltd/
NYKAA,fsn-e-commerce-ventures-ltd,705188,https://trendlyne.com/equity/705188/NYKAA/fsn-e-commerce-ventures-ltd/
IDBI,idbi-bank-ltd,588,https://trendlyne.com/equity/588/IDBI/idbi-bank-ltd/
AUROPHARMA,aurobindo-pharma-ltd,132,https://trendlyne.com/equity/132/AUROPHARMA/aurobindo-pharma-ltd/
ASHOKLEY,ashok-leyland-ltd,114,https://trendlyne.com/equity/114/ASHOKLEY/ashok-leyland-ltd/
MEESHO,meesho-ltd,3346816,https://trendlyne.com/equity/3346816/MEESHO/meesho-ltd/
FEDERALBNK,federal-bank-ltd,412,https://trendlyne.com/equity/412/FEDERALBNK/federal-bank-ltd/
SRF,srf-ltd,1283,https://trendlyne.com/equity/1283/SRF/srf-ltd/
HINDPETRO,hindustan-petroleum-corporation-ltd,556,https://trendlyne.com/equity/556/HINDPETRO/hindustan-petroleum-corporation-ltd/
DIXON,dixon-technologies-india-ltd,60393,https://trendlyne.com/equity/60393/DIXON/dixon-technologies-india-ltd/
LAURUSLABS,laurus-labs-ltd,4984,https://trendlyne.com/equity/4984/LAURUSLABS/laurus-labs-ltd/
PAYTM,one97-communications-ltd,712312,https://trendlyne.com/equity/712312/PAYTM/one97-communications-ltd/
INDUSINDBK,indusind-bank-ltd,625,https://trendlyne.com/equity/625/INDUSINDBK/indusind-bank-ltd/
BHARTIHEXA,bharti-hexacom-ltd,2170198,https://trendlyne.com/equity/2170198/BHARTIHEXA/bharti-hexacom-ltd/
PERSISTENT,persistent-systems-ltd,1023,https://trendlyne.com/equity/1023/PERSISTENT/persistent-systems-ltd/
ICICIGI,icici-lombard-general-insurance-company-ltd,61147,https://trendlyne.com/equity/61147/ICICIGI/icici-lombard-general-insurance-company-ltd/
NHPC,nhpc-ltd,938,https://trendlyne.com/equity/938/NHPC/nhpc-ltd/
JSWINFRA,jsw-infrastructure-ltd,1698179,https://trendlyne.com/equity/1698179/JSWINFRA/jsw-infrastructure-ltd/
WAAREEENER,waaree-energies-ltd,2723026,https://trendlyne.com/equity/2723026/WAAREEENER/waaree-energies-ltd/
NAUKRI,info-edge-india-ltd,913,https://trendlyne.com/equity/913/NAUKRI/info-edge-india-ltd/
NTPCGREEN,ntpc-green-energy-ltd,2789016,https://trendlyne.com/equity/2789016/NTPCGREEN/ntpc-green-energy-ltd/
ATGL,adani-total-gas-ltd,114071,https://trendlyne.com/equity/114071/ATGL/adani-total-gas-ltd/
LTF,l-t-finance-ltd,777,https://trendlyne.com/equity/777/LTF/l-t-finance-ltd/
HAVELLS,havells-india-ltd,525,https://trendlyne.com/equity/525/HAVELLS/havells-india-ltd/
DABUR,dabur-india-ltd,303,https://trendlyne.com/equity/303/DABUR/dabur-india-ltd/
AUBANK,au-small-finance-bank-ltd,54902,https://trendlyne.com/equity/54902/AUBANK/au-small-finance-bank-ltd/
SWIGGY,swiggy-ltd,2755533,https://trendlyne.com/equity/2755533/SWIGGY/swiggy-ltd/
PHOENIXLTD,phoenix-mills-ltd,1036,https://trendlyne.com/equity/1036/PHOENIXLTD/phoenix-mills-ltd/
NAM-INDIA,nippon-life-india-asset-management-ltd,64356,https://trendlyne.com/equity/64356/NAM-INDIA/nippon-life-india-asset-management-ltd/
NMDC,nmdc-ltd,949,https://trendlyne.com/equity/949/NMDC/nmdc-ltd/
PRESTIGE,prestige-estates-projects-ltd,1071,https://trendlyne.com/equity/1071/PRESTIGE/prestige-estates-projects-ltd/
FORTIS,fortis-healthcare-ltd,424,https://trendlyne.com/equity/424/FORTIS/fortis-healthcare-ltd/
SUZLON,suzlon-energy-ltd,1337,https://trendlyne.com/equity/1337/SUZLON/suzlon-energy-ltd/
ICICIPRULI,icici-prudential-life-insurance-company-ltd,4714,https://trendlyne.com/equity/4714/ICICIPRULI/icici-prudential-life-insurance-company-ltd/
YESBANK,yes-bank-ltd,1535,https://trendlyne.com/equity/1535/YESBANK/yes-bank-ltd/
TORNTPOWER,torrent-power-ltd,1410,https://trendlyne.com/equity/1410/TORNTPOWER/torrent-power-ltd/
OIL,oil-india-ltd,965,https://trendlyne.com/equity/965/OIL/oil-india-ltd/
POLICYBZR,pb-fintech-ltd,710819,https://trendlyne.com/equity/710819/POLICYBZR/pb-fintech-ltd/
BIOCON,biocon-ltd,197,https://trendlyne.com/equity/197/BIOCON/biocon-ltd/
BAJAJHFL,bajaj-housing-finance-ltd,2607004,https://trendlyne.com/equity/2607004/BAJAJHFL/bajaj-housing-finance-ltd/
MCX,multi-commodity-exchange-of-india-ltd,853,https://trendlyne.com/equity/853/MCX/multi-commodity-exchange-of-india-ltd/
IDFCFIRSTB,idfc-first-bank-ltd,1786,https://trendlyne.com/equity/1786/IDFCFIRSTB/idfc-first-bank-ltd/
OBEROIRLTY,oberoi-realty-ltd,962,https://trendlyne.com/equity/962/OBEROIRLTY/oberoi-realty-ltd/
ALKEM,alkem-laboratories-ltd,1878,https://trendlyne.com/equity/1878/ALKEM/alkem-laboratories-ltd/
IOB,indian-overseas-bank,638,https://trendlyne.com/equity/638/IOB/indian-overseas-bank/
SAIL,steel-authority-of-india-sail-ltd,1165,https://trendlyne.com/equity/1165/SAIL/steel-authority-of-india-sail-ltd/
BANKINDIA,bank-of-india,163,https://trendlyne.com/equity/163/BANKINDIA/bank-of-india/
UNOMINDA,uno-minda-ltd,864,https://trendlyne.com/equity/864/UNOMINDA/uno-minda-ltd/
COFORGE,coforge-ltd,942,https://trendlyne.com/equity/942/COFORGE/coforge-ltd/
SCHAEFFLER,schaeffler-india-ltd,406,https://trendlyne.com/equity/406/SCHAEFFLER/schaeffler-india-ltd/
GODREJPROP,godrej-properties-ltd,478,https://trendlyne.com/equity/478/GODREJPROP/godrej-properties-ltd/
GICRE,general-insurance-corporation-of-india,63527,https://trendlyne.com/equity/63527/GICRE/general-insurance-corporation-of-india/
GLENMARK,glenmark-pharmaceuticals-ltd,464,https://trendlyne.com/equity/464/GLENMARK/glenmark-pharmaceuticals-ltd/
NATIONALUM,national-aluminium-company-ltd,911,https://trendlyne.com/equity/911/NATIONALUM/national-aluminium-company-ltd/
MAHABANK,bank-of-maharashtra,815,https://trendlyne.com/equity/815/MAHABANK/bank-of-maharashtra/
SBICARD,sbi-cards-and-payment-services-ltd,188792,https://trendlyne.com/equity/188792/SBICARD/sbi-cards-and-payment-services-ltd/
ABBOTINDIA,abbott-india-ltd,18,https://trendlyne.com/equity/18/ABBOTINDIA/abbott-india-ltd/
JSL,jindal-stainless-ltd,696,https://trendlyne.com/equity/696/JSL/jindal-stainless-ltd/
COROMANDEL,coromandel-international-ltd,284,https://trendlyne.com/equity/284/COROMANDEL/coromandel-international-ltd/
HDBFS,hdb-financial-services-ltd,3147463,https://trendlyne.com/equity/3147463/HDBFS/hdb-financial-services-ltd/
KALYANKJIL,kalyan-jewellers-india-ltd,447071,https://trendlyne.com/equity/447071/KALYANKJIL/kalyan-jewellers-india-ltd/
LINDEINDIA,linde-india-ltd,791,https://trendlyne.com/equity/791/LINDEINDIA/linde-india-ltd/
BERGEPAINT,berger-paints-india-ltd,178,https://trendlyne.com/equity/178/BERGEPAINT/berger-paints-india-ltd/
MOTILALOFS,motilal-oswal-financial-services-ltd,879,https://trendlyne.com/equity/879/MOTILALOFS/motilal-oswal-financial-services-ltd/
THERMAX,thermax-ltd,1387,https://trendlyne.com/equity/1387/THERMAX/thermax-ltd/
COLPAL,colgate-palmolive-india-ltd,276,https://trendlyne.com/equity/276/COLPAL/colgate-palmolive-india-ltd/
MRF,mrf-ltd,883,https://trendlyne.com/equity/883/MRF/mrf-ltd/
TIINDIA,tube-investments-of-india-ltd,67548,https://trendlyne.com/equity/67548/TIINDIA/tube-investments-of-india-ltd/
APARINDS,apar-industries-ltd,88,https://trendlyne.com/equity/88/APARINDS/apar-industries-ltd/
RADICO,radico-khaitan-ltd,1090,https://trendlyne.com/equity/1090/RADICO/radico-khaitan-ltd/
FACT,the-fertilisers-and-chemicals-travancore-ltd,405,https://trendlyne.com/equity/405/FACT/the-fertilisers-and-chemicals-travancore-ltd/
VMM,vishal-mega-mart-ltd,2839786,https://trendlyne.com/equity/2839786/VMM/vishal-mega-mart-ltd/
MFSL,max-financial-services-ltd,845,https://trendlyne.com/equity/845/MFSL/max-financial-services-ltd/
UPL,upl-ltd,1455,https://trendlyne.com/equity/1455/UPL/upl-ltd/
TATACOMM,tata-communications-ltd,1357,https://trendlyne.com/equity/1357/TATACOMM/tata-communications-ltd/
FLUOROCHEM,gujarat-fluorochemicals-ltd,169265,https://trendlyne.com/equity/169265/FLUOROCHEM/gujarat-fluorochemicals-ltd/
APLAPOLLO,apl-apollo-tubes-ltd,91,https://trendlyne.com/equity/91/APLAPOLLO/apl-apollo-tubes-ltd/
PIRAMALFIN,piramal-finance-ltd,3322124,https://trendlyne.com/equity/3322124/PIRAMALFIN/piramal-finance-ltd/
SUNDARMFIN,sundaram-finance-ltd,1311,https://trendlyne.com/equity/1311/SUNDARMFIN/sundaram-finance-ltd/
ATHERENERG,ather-energy-ltd,3080909,https://trendlyne.com/equity/3080909/ATHERENERG/ather-energy-ltd/
M&MFIN,mahindra-mahindra-financial-services-ltd,808,https://trendlyne.com/equity/808/M&MFIN/mahindra-mahindra-financial-services-ltd/
HINDCOPPER,hindustan-copper-ltd,551,https://trendlyne.com/equity/551/HINDCOPPER/hindustan-copper-ltd/
KEI,kei-industries-ltd,729,https://trendlyne.com/equity/729/KEI/kei-industries-ltd/
PREMIERENE,premier-energies-ltd,2571009,https://trendlyne.com/equity/2571009/PREMIERENE/premier-energies-ltd/
AIIL,authum-investment-infrastructure-ltd,4204,https://trendlyne.com/equity/4204/AIIL/authum-investment-infrastructure-ltd/
RVNL,rail-vikas-nigam-ltd,139596,https://trendlyne.com/equity/139596/RVNL/rail-vikas-nigam-ltd/
BDL,bharat-dynamics-ltd,80210,https://trendlyne.com/equity/80210/BDL/bharat-dynamics-ltd/
GODREJIND,godrej-industries-ltd,477,https://trendlyne.com/equity/477/GODREJIND/godrej-industries-ltd/
AEGISLOG,aegis-logistics-ltd,35,https://trendlyne.com/equity/35/AEGISLOG/aegis-logistics-ltd/
SONACOMS,sona-blw-precision-forgings-ltd,547977,https://trendlyne.com/equity/547977/SONACOMS/sona-blw-precision-forgings-ltd/
360ONE,360-one-wam-ltd,166089,https://trendlyne.com/equity/166089/360ONE/360-one-wam-ltd/
IPCALAB,ipca-laboratories-ltd,642,https://trendlyne.com/equity/642/IPCALAB/ipca-laboratories-ltd/
MPHASIS,mphasis-ltd,881,https://trendlyne.com/equity/881/MPHASIS/mphasis-ltd/
VOLTAS,voltas-ltd,1500,https://trendlyne.com/equity/1500/VOLTAS/voltas-ltd/
PAGEIND,page-industries-ltd,994,https://trendlyne.com/equity/994/PAGEIND/page-industries-ltd/
AJANTPHARM,ajanta-pharma-ltd,49,https://trendlyne.com/equity/49/AJANTPHARM/ajanta-pharma-ltd/
ANTHEM,anthem-biosciences-ltd,3161384,https://trendlyne.com/equity/3161384/ANTHEM/anthem-biosciences-ltd/
JKCEMENT,jk-cement-ltd,683,https://trendlyne.com/equity/683/JKCEMENT/jk-cement-ltd/
